Date,Open,High,Low,Close,Volume [BRL],Volume [shares],IFR (RSI) [9],True Range [1],Moving Average A [21],Moving Average E [9],IsLocalPeak,IsLocalTrough,derivative_peaks,derivative_troughs,bear_harami,bull_harami,bear_engulfing,bull_engulfing,hammer,shooting_star
2009-01-13,38.76,40.26,38.54,40.0,7013022.0,177300,53.0,1.72,39.424285714285716,40.371807674553736,0.0,0.0,0.049999999999999524,0.46499999999999986,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-14,39.4,39.47,37.7,38.03,7966003.0,205500,42.81,2.3,39.37666666666667,39.903446139642995,0.0,0.0,0.049999999999999524,0.46499999999999986,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-15,37.89,39.36,36.93,39.36,4592822.0,120500,50.09,2.43,39.39904761904762,39.7947569117144,0.0,1.0,0.049999999999999524,-0.6439999999999998,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-16,39.68,39.84,38.66,39.49,6996569.0,177700,50.78,1.18,39.41714285714286,39.73380552937152,1.0,0.0,-0.5259999999999991,-0.6439999999999998,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-19,39.71,39.83,38.62,38.95,12634626.0,324700,47.7,1.21,39.4352380952381,39.57704442349722,0.0,0.0,-0.5259999999999991,-0.6439999999999998,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-20,38.51,39.06,37.35,38.99,744175.0,19400,47.97,1.71,39.387142857142855,39.45963553879778,0.0,1.0,-0.5259999999999991,0.14000000000000057,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-21,37.95,38.85,37.37,38.85,1244137.0,32900,47.03,1.62,39.370000000000005,39.33770843103822,0.0,0.0,-0.5259999999999991,0.14000000000000057,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-22,38.8,38.8,37.4,38.24,15841174.0,417600,42.95,1.45,39.32666666666667,39.11816674483058,0.0,0.0,-0.5259999999999991,0.14000000000000057,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-23,37.01,38.43,36.8,38.08,4486280.0,118500,41.87,1.63,39.27666666666667,38.91053339586446,0.0,1.0,-0.5259999999999991,-0.18333333333333476,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-26,38.06,39.5,37.91,39.0,2971904.0,77700,49.97,1.59,39.33619047619048,38.928426716691575,1.0,0.0,-0.05666666666666723,-0.18333333333333476,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-27,38.51,38.99,38.32,38.99,1920129.0,49400,49.88,0.68,39.45190476190477,38.94074137335326,0.0,0.0,-0.05666666666666723,-0.18333333333333476,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-28,39.37,40.9,39.37,40.9,1480821.0,37300,63.29,1.91,39.64238095238096,39.33259309868261,1.0,0.0,0.6999999999999993,-0.18333333333333476,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-29,39.74,40.81,39.37,39.6,14718088.0,363500,52.53,1.53,39.776190476190486,39.386074478946085,0.0,0.0,0.6999999999999993,-0.18333333333333476,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-30,39.27,40.2,39.27,39.6,5006821.0,126400,52.53,0.93,39.86952380952381,39.42885958315687,0.0,0.0,0.6999999999999993,-0.18333333333333476,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-02,38.68,39.3,38.5,39.0,302989.0,7800,47.78,1.1,39.80666666666667,39.3430876665255,0.0,1.0,0.6999999999999993,0.2833333333333338,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-03,38.69,40.0,38.69,40.0,6376290.0,162400,55.35,1.31,39.71142857142858,39.4744701332204,0.0,0.0,0.6999999999999993,0.2833333333333338,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-04,40.08,41.35,39.94,40.4,4649535.0,114100,58.08,1.41,39.620000000000005,39.659576106576324,0.0,0.0,0.6999999999999993,0.2833333333333338,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-05,40.36,41.5,39.72,41.5,366685.0,9000,64.75,1.78,39.66095238095239,40.02766088526106,0.0,1.0,0.6999999999999993,0.4066666666666663,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-06,41.63,43.2,41.6,43.2,12444597.0,294500,72.39,1.7,39.70857142857143,40.66212870820885,0.0,0.0,0.6999999999999993,0.4066666666666663,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-09,42.71,43.29,41.92,42.0,5901675.0,138100,61.76,1.37,39.70857142857143,40.92970296656708,1.0,0.0,0.29875000000000007,0.4066666666666663,2.2112676056338008,0.0,0.0,0.0,0.0,0.0
2009-02-10,42.35,42.72,40.96,41.34,4944468.0,118200,56.62,1.76,39.78666666666667,41.01176237325367,0.0,0.0,0.29875000000000007,0.4066666666666663,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-11,41.37,41.86,40.32,41.0,2003704.0,48700,54.01,1.54,39.83428571428571,41.00940989860294,0.0,0.0,0.29875000000000007,0.4066666666666663,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-12,40.3,40.95,39.93,40.79,3088290.0,76800,52.33,1.07,39.965714285714284,40.96552791888235,0.0,1.0,0.29875000000000007,0.04200000000000017,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-13,41.87,41.87,41.04,41.85,181644.0,4400,59.47,1.08,40.08428571428572,41.14242233510588,0.0,0.0,0.29875000000000007,0.04200000000000017,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-16,41.16,41.99,40.9,41.99,1360483.0,33200,60.35,1.09,40.20333333333334,41.311937868084705,1.0,0.0,-0.25999999999999945,0.04200000000000017,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-17,40.32,40.75,39.74,40.0,3746045.0,93500,44.77,2.25,40.253333333333345,41.049550294467764,0.0,0.0,-0.25999999999999945,0.04200000000000017,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-18,40.2,40.35,39.11,39.99,2946557.0,74800,44.71,1.24,40.30095238095238,40.83764023557421,0.0,1.0,-0.25999999999999945,-0.20500000000000007,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-19,40.0,40.26,39.66,40.0,807124.0,20200,44.8,0.6,40.355714285714285,40.67011218845937,0.0,0.0,-0.25999999999999945,-0.20500000000000007,0.0,0.0,0.0,0.0,1.0,0.0
2009-02-20,39.51,39.51,37.99,39.2,2742632.0,70900,39.05,2.01,40.40142857142857,40.3760897507675,0.0,0.0,-0.25999999999999945,-0.20500000000000007,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-25,39.3,39.3,37.95,38.65,1955002.0,51100,35.52,1.35,40.42857142857143,40.030871800613994,0.0,1.0,-0.25999999999999945,-0.38666666666666555,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-26,38.86,39.07,38.26,38.75,3384128.0,87600,36.69,0.81,40.416666666666664,39.774697440491195,0.0,0.0,-0.25999999999999945,-0.38666666666666555,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-27,37.3,38.75,37.3,38.75,4712688.0,124400,36.69,1.45,40.4052380952381,39.56975795239296,0.0,0.0,-0.25999999999999945,-0.38666666666666555,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-02,38.4,38.4,36.1,36.6,4411002.0,120100,24.56,2.65,40.200476190476195,38.97580636191437,0.0,0.0,-0.25999999999999945,-0.38666666666666555,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-03,36.48,37.03,35.73,36.77,7695944.0,211500,26.72,1.3,40.06571428571429,38.5346450895315,0.0,1.0,-0.25999999999999945,-0.5550000000000015,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-04,37.85,38.95,37.35,38.8,5482598.0,144300,47.04,2.18,40.02761904761905,38.5877160716252,1.0,0.0,-0.30399999999999994,-0.5550000000000015,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-05,37.84,38.0,36.91,37.3,3301432.0,88500,38.23,1.89,39.94666666666667,38.33017285730016,0.0,0.0,-0.30399999999999994,-0.5550000000000015,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-06,37.72,38.25,36.51,37.5,2757466.0,73400,39.91,1.74,39.827619047619045,38.16413828584013,1.0,0.0,-0.3500000000000014,-0.5550000000000015,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-09,36.4,37.41,36.4,37.0,1403018.0,38000,37.07,1.1,39.66571428571428,37.93131062867211,0.0,1.0,-0.3500000000000014,0.16750000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-10,38.0,38.9,37.0,38.9,12025349.0,314000,51.78,1.9,39.54190476190475,38.12504850293769,0.0,0.0,-0.3500000000000014,0.16750000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-11,39.01,39.23,38.27,38.85,4211595.0,108000,51.42,0.96,39.3347619047619,38.27003880235015,0.0,0.0,-0.3500000000000014,0.16750000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-12,38.42,39.5,38.31,39.5,5368215.0,138900,55.86,1.19,39.21571428571428,38.51603104188012,0.0,0.0,-0.3500000000000014,0.16750000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-13,39.6,39.63,38.5,39.2,5440376.0,139500,53.33,1.13,39.11380952380952,38.6528248335041,0.0,0.0,-0.3500000000000014,0.16750000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-16,39.2,39.68,38.45,38.75,12543875.0,321600,49.55,1.23,39.00666666666667,38.67225986680328,0.0,0.0,-0.3500000000000014,0.16750000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-17,38.29,39.79,37.97,39.79,3892711.0,100200,57.41,1.82,38.959047619047624,38.89580789344262,0.0,1.0,-0.3500000000000014,0.2616666666666667,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-18,39.7,40.56,38.82,40.3,9241903.0,232500,60.78,1.74,38.885238095238094,39.1766463147541,0.0,0.0,-0.3500000000000014,0.2616666666666667,0.0,0.0,0.0,0.0,0.0,0.0
